id,keyword,productID
1,shoe,1
2,puma,1
3,X100,1
4,sneaker,1
5,shirt,2
6,US,2
7,polo,2
8,tee,2
9,Pro,3
10,12,3
11,iphone,3
12,apple,3
13,max,3
14,mobile,3
15,light,4
16,spanger,4
17,jeans,4
18,trousers,4
19,lewis,4
20,denim,4
21,745,5
22,titan,5
23,watch,5
24,dell,6
25,laptop,6
26,computer,6
27,pc,6
28,television,7
29,bravia,7
30,sony,7
31,phone,8
32,mobile,8
33,V9,8
34,vivo,8
35,speakers,9
36,headphone,9
37,JBL,9
38,speakers,10
39,headphone,10
40,Bose,10
41,eatables,11
42,butter,11
43,eatables,12
44,bread,12
45,eatables,13
46,jam,13
47,chips,14
48,lays,14
49,cookies,15
50,harpic,16
51,cleaner,16
52,cleaner,17
53,domex,17
54,colgate,18
55,toothpaste,18
56,adidas,19
57,flex,19
58,manyavar,20
59,wedding,20
60,kurta,20
61,men's,20
62,ethnix,21
63,nehru,21
64,jacket,21
65,lee,22
66,denim,22
67,jacket,22
68,alphonso,23
69,mango,23
70,fruit,23
71,prestige,24
72,frying,24
73,pan,24
74,cello,25
75,cleaning,25
76,mop,25
77,,
